Rows,ID,Description
112,119,Access to Raya Lucaria Academy up close 2.
113,120,Tempesveu Castle from afar.
114,121,Tempesveu Castle walls up close and Anticipation Chapel from afar 1.
115,122,Carian Mansion/Redmane Castle/Tears Peninsula towers from afar.
116,123,"Tears Peninsula towers up close, Redmane Castle, tower roof in Carian Mansion, scaffolding in Caelid 2, Gael Fort, Morne Castle 2, and Castle Sol."
117,124,Sellia/Plato Altus buildings/Ancient Merchant's hut from afar.
118,125,"Ruins in Tears Peninsula/Caelid, Sellia bell tower, buildings on Bellum Road, access to the underground in Limgrave, and ruins in Giant's Mountain."
119,126,Arches/pillars in Caelid/Limgrave from afar.
120,127,Arcs/pillars in Limgrave and broken bridge in Plato Altus.
121,128,Village/Broken bridge of Raya Lucaria Academy from afar.
122,129,"Broken bridge/Village of Raya Lucaria up close, ruins in Ordina, and broken bridge of submerged village in Liurnia."
123,130,Giant white stone skull in Caelid from afar 1.
124,131,Giant white stone skull in Caelid up close.
125,132,Portal to Dectus's elevator/Leyndell's outer wall from afar and Leyndell from afar 1.
126,133,"Portal to Dectus's elevator up close 2, buildings around the capital, Leyndell's intermediate wall base, and access to Leyndell."
127,134,Farum Azula's ruin pieces in Limgrave from afar.
128,135,Horse statues in Plato Altus and Liurnia up close.
129,136,Broken bridge in Limgrave/Carian Study Hall bridge from afar.
130,137,Carian Study Hall bridge/Broken bridge in Limgrave up close.
133,140,Stones of Gelmir Mountain and Plato Altus 3 stones.
134,141,Giant white stone skull in Caelid from afar 2.
136,143,Access to the underground in Caelid.
137,144,Entrance to Catacombs of War Dead/Sellia's hideout from afar.
138,145,Bridge to Giant's Mountain.
139,146,Giant trees in Caelid from afar.
144,200,Wooden bridge in Tears Peninsula.
145,201,Giant gate near the capital.
146,202,Land near the capital.
148,209,Stones and giant skulls on Flame Peak.
151,212,Frozen giants on Flame Peak and Plato Altus 4 stones.
152,213,Giant's Mountain 2 stones.
153,214,Giant trees in Caelid up close.
156,300,Ruins in Manus Celes Cathedral.
157,301,Smaller crystals of the Three Sisters.
158,302,Ranni's Two Giant Fingers.
160,304,Larger crystals of the Three Sisters.
162,310,Crucifixes in Volcanic Mansion and tree in Smaller Tervore Church.
163,311,Cemetery in Limgrave.
164,312,Dead tree trunks in consecrated snowfield from afar (?).
165,313,Dead tree trunks in consecrated snowfield.
166,314,Giant darts around the capital.
167,315,Cemetery in Tears Peninsula.
172,700,Grace in Limgrave.
173,800,Ocean 1.
174,801,Swamp in Plato Altus and water mirror in Carian Mansion.
178,805,Ocean 2.
180,841,Tervore trunk.
181,845,Tervore canopy.
182,850,Sky
187,860,Clouds
188,861,Clouds of Tempesveu Castle/Raya Lucaria Academy/Leyndell
192,867,Clouds of Giant's Mountain
197,993,Caelid tower from afar
198,994,Trunks of the smaller Tervores
201,997,Towers of Liurnia/Limgrave up close
204,1000,Surface terrain
206,1100,Giant root in Caelid
207,2004,"Siofra Aqueduct 1, boxes in the Drifting Cemetery, and lever in the Shimmering Tunnel of Raya Lucaria"
208,2006,"stones from tempesveu castle, Nokstella 1, aqueduct of siofra 2, totems in river siofra, sacred tree buildings and thin roots of elphael 1"
209,2008,"siofra river stones 1, raya lucaria academy 2, elevator tower for giants mountain, arches/pillars in liurnia from near 1 and elphael"
210,2010,"crowning of the towers of caelid/limgrave up close, academy of raya lucaria 3, guardrail of broken bridge of limgrave and steps on divine bridge"
211,2014,"limgrave tower seen from tempesveu castle, sacred night field 1, buildings of Nokron 1, Nokstella 2, guardrail of the portal to giants' mountain, arches/pillars in liurnia up close 2, chapel of anticipation 1, top of limgrave tower 1 and ruins of the siofra river 1"
212,2030,"ruins of the siofra river 2, stones from deep root chasms 2, buildings of Nokron 2, large cloister 1 and base of marika statue in chapel of anticipation"
213,2044,"raya lucaria academy 4, mount gelmir/plato altus views from raya lucaria academy, volcanic mansion 3 and remains of the uhl dynasty"
214,2045,tempesveu castle 1
215,2046,"tempesveu castle 2, sacred night field 2, ruins of the siofra river 3, buildings of the siofra river 1, raya lucaria academy 5 and volcanic mansion 4"
216,2048,"tempesveu castle 3, nokron land 1, raya lucaria academy 6 and volcanic mansion 5"
217,2050,"tempesveu castle 4, nokron terrain 2, deeproot abyss buildings 1, nokstella 3, siofra aqueduct 3, uld palace ruins and siofra river buildings 2"
218,2051,"tempesveu castle 5, sacred night field 3, Nokstella from afar, buildings in siofra river 3, dead tree trunk in siofra river and wall of the lake of rot"
219,2052,"tempesveu castle 6, stones of the river siofra 2, buildings of deep root chasms 2, terrain of the river siofra 1, volcanic mansion 6, chapel of anticipation 2, ruins of the river siofra 4 Nokstella 4"
220,2053,"stones from the roof of Rio Siofra 1, buildings of Nokron 3, ruins of Rio Siofra 5 and buildings of Rio Siofra 4"
221,2054,"tempestella castle 7, sacred night field 4, stones from the palace of Mohgwyn 1, ruins of the river siofra 6, stones in remains of the uhl dynasty, buildings of Nokron 4, buildings of the river siofra 5 and Nokstella 5"
222,2060,"tervore in leyndell, tower door seen from tempesveu castle, Nokstella 6, underground fields of seclusion 1, farum azula ruin stones, volcanic mansion 7, caelid tower base up close, raya lucaria academy 7, great cloister 2, deep root chasms and giants mountain view of farum azula ruin"
223,2068,Mohgwyn Palace Stones 2
224,2090,dead tree trunk at Mohgwyn Palace
225,2104,"siofra river terrain 2, wyndham catacombs 1, leyndell 1, barrels/boxes in drifting cemetery, wooden door in round table and catacomb elevator at the bottom of the cliffs"
226,2106,"stones on the outskirts of the capital 1, mountain of giants from afar, underground fields of seclusion 2, tomb of the hero conquering giants 1, turbid catacombs, crystal cave of the academy and catacombs of mountain of giants"
227,2108,"leyndell avenue, fireplace in tempesveu castle, tomb of the hero of auriza 1, mine in the village of ravine 2 and precipice dotted with ruins 1"
228,2110,"Stones of River Siofra 3, Hidden Path to Sacred Tree 1, Hero's Tomb of Auriza 2, Interior of the Cariano Study Hall, Leyndell 2, and Top of the Limgrave Tower 2."
229,2114,"Hidden Path to Sacred Tree 2, Cobwebs in Catacombs of the Mausoleum Wing, Academy of Raya Lucaria 8, Interior of the Limgrave Tower, and Trees of Leyndell 1."
230,2130,"Roof of River Siofra, Tomb of the Giant Conqueror 2, Library of Raya Lucaria 1, and Precipice Dotted with Ruins 2."
231,2145,"Mountain of the Giants seen from Academy Raya Lucaria, Castle Tempesveu 8, and Library of Raya Lucaria 2."
232,2146,"Land of River Siofra 3, Distant Sacred Snowfield, Vulcanic Mansion 8, Upper Access of the Academy of Raya Lucaria, and Stones around the Capital 2."
233,2148,"- Temple of Eiglay 1, Castle Tempesveu 9, Academy of Raya Lucaria 9, and Crystal Cave Elevator of the Academy."
234,2150,"- Stones of River Siofra 4, Limgrave Tower Elevator, Academy of Raya Lucaria 10, and Leyndell Tower."
235,2151,"- Roof Stones of River Siofra 2, Trees of Leyndell 2, Grand Cloister 3, and Gate in the Hero's Consecrated Tomb."
236,2152,"- Roof Stones of River Siofra 3, Nokron Terrain 3, and Tower of the Capital Outskirts."
237,2160,"- Tervore Effect, Root Lake, Ranni's Moon, Mohgwyn Palace Stones 3, Fog in Limgrave, River Siofra Stones 5, Plato Altus seen from Sacred Tree, Distant View of the Anticipation Chapel 2, Ruins of Uhl Dynasty Remnants, and Sky Effect of Raya Lucaria Academy."
239,2304,"- Round Table Floor, Stone Goblets in Farum Azula Ruin 1, and Vulcanic Mansion 9."
240,2306,- Vulcanic Mansion 10.
241,2308,- Vulcanic Mansion 11.
242,2310,"- Leyndell Trees 3, Obelisk/Paintings/Solid Lava in Vulcanic Mansion, and Ruins of River Siofra 7."
243,2314,"- Stone Door in Castle Tempesveu, Vulcanic Mansion 12, Temple of Eiglay 2, Statue Base in Leyndell, and Leyndell Trees 4."
244,2330,"- Bush in Caelid/Ravine Village, Lapid in Godrick's Arena, Temple of Eiglay 3, and Vulcanic Mansion 13."
245,2402,- Stone Goblets in Raya Lucaria Academy 1 and Stone Goblets in Farum Azula Ruin 2.
246,2403,- Books and Furniture in Cariano Study Hall and Shelves in Raya Lucaria Academy.
247,2404,"- Bush in Castle Tempesveu, Small Dead Tree Trunk in River Siofra, Nokstella 7, and Vulcanic Mansion 14."
248,2406,"- Temple of Eiglay 4, Debris in River Siofra, Vulcanic Mansion 15, and Academy of Raya Lucaria 11."
249,2408,"- Stones of River Siofra 6, Temple of Eiglay 5, Fountain Steps of Raya Lucaria Academy, and Nokstella 8."
250,2410,- Tombstone in River Siofra.
251,2414,- Vulcanic Mansion 16.
252,2430,- Temple of Eiglay 6.
253,2504,"- Cages in Raya Lucaria Academy, Wooden Door in Leyndell turned to Ashes, and Small Trees in Raya Lucaria Academy."
254,2506,- Guardrail of Raya Lucaria Academy and Vulcanic Mansion 17.
255,2508,"- Leyndell 3, Vulcanic Mansion 18, Raya Lucaria Academy 12, and Stone Goblets in Raya Lucaria Academy 2."
256,2510,"- Leyndell 4, Buildings in Farum Azula Ruin 1, Vulcanic Mansion 19, and Dead Tree in Vulcanic Mansion."
257,2514,"- Stones of River Siofra 7, Buildings in Farum Azula Ruin 2, and Leyndell 5."
258,2530,- Stones of River Siofra 8 and Ruins of River Siofra 8.
259,2544,- Nokstella 9 and Crystals from Sellia's Hideout.
260,2548,- Stones of Mohgwyn Palace 4 and Stones of River Siofra 9.
261,2554,- Buildings in Farum Azula Ruin 3.
262,2580,"- Leyndell Dragon, Buildings in Farum Azula Ruin 4, and Stones of River Siofra 10."
263,2584,- Raya Lucaria Academy 13.
264,2604,- Fungi and Vines in Elphael.
265,2606,- Embedded Pillars in Elphael.
266,2607,- Godrick's Arena Flowers and Stone Blocks in Leyndell.
267,2608,"- Fine Roots/Trees of Elphael, Ashen Leyndell Stone Blocks, and Tree Canopy in Sacred Tree."
268,2610,"- Medium Stones in Leyndell, Leyndell 6, Leyndell Trees 5, and Ashen Leyndell 1."
269,2614,"- Inner Wall Towers of Leyndell 1, Ruin Trees of Farum Azula, and Ashen Leyndell 2."
270,2630,- Inner Wall Towers of Leyndell 2.
271,2644,- Ant Eggs in Sacred Tree and Slime in Moghwyn Dynasty Mausoleum.
272,2800,- Distant Leyndell 2 and Portal to Limgrave Tower from Afar.
275,2850,- Ashen Leyndell 3.
276,2851,"- Ruins of River Siofra 9, Buildings in River Siofra 6, and Stones of River Siofra 11."
277,2852,"- Raya Lucaria Academy 14, Black Tree in Abyss of Deep Roots from Afar, Buildings in River Siofra 7, and Stones of River Siofra 12."
278,2854,"- Intermediate Wall of Leyndell, Stones of River Siofra 13, Nokron Terrain 4, and Tomb of the Hero of Gelmir."
279,2855,- Sacred Tree and Buildings in River Siofra 8.
281,2900,- Astel Elevator and Impaler's Catacombs Gate.
282,2901,- Farum Azula Ruin Tornado
285,2910,"- Turvaguas Catacombs Gate, Entrance to Dragon's Fissure Caves, Turvaguas Caves, and Wyndham Catacombs 2."
287,2912,- Arvoredo Cave Entrance/Shimmering Stone Tunnel/Screens of Limgrave up close.
288,2920,- Altus Tunnel Entrance/Limgrave Tunnels/Shimmering Stone Tunnel of Sellia from afar and Damsel Abductor's Exit from afar.
291,2923,- Drifting Cemetery Entrance from afar.
295,2940,- Canopy of Lesser Tervores.
296,3000,- Interior of Consecrated Hero's Tomb seen from the outside.
297,3148,- Leyndell 7.
298,3150,- Leyndell 8.
299,3151,- Leyndell 9.
300,3152,- Leyndell 10.
301,3154,- Leyndell 11.
305,9999,"- Terrain, Distant Constructions, Liurnia Tower from afar, and Stones of Plato Altus 5."
307,9999,- Raya Lucaria Academy from afar and External Wall of Castle Tempesveu.
314,20000,- Background Vegetation.
315,20001,- Large Trees.
316,20002,- Small Trees.
317,20003,- Small Leaf Bushes.
318,30000,- Full-body character on the editing screen.
319,40000,- Interior Benches of Limgrave Coliseum.
320,40010,- Marika's Altar in Limgrave Coliseum.
327,45200,- Coliseums of Caelid and Limgrave up close.
328,45201,- Distant view of Caelid Coliseum.
